,Threshold,Dataset,Mean accuracy - Class 01,Mean accuracy - Class 02,Mean F1,Std accuracy - Class 01,Std accuracy - Class 02,Std F1,Mean C1 Instances Remaining,Mean C2 Instances Remaining
0,0.4,../../data/thrombosis_non_thrombosis_v3.csv,0.59,0.98,0.58,0.06,0.14,0.11,0.0,0.0
1,0.41000000000000003,../../data/thrombosis_non_thrombosis_v3.csv,0.59,1.0,0.6,0.06,0.0,0.11,0.0,0.0
2,0.42000000000000004,../../data/thrombosis_non_thrombosis_v3.csv,0.61,1.0,0.63,0.06,0.03,0.1,0.0,0.0
3,0.43000000000000005,../../data/thrombosis_non_thrombosis_v3.csv,0.62,1.0,0.65,0.06,0.03,0.1,0.0,0.0
4,0.44000000000000006,../../data/thrombosis_non_thrombosis_v3.csv,0.63,0.99,0.67,0.06,0.04,0.1,0.0,0.0
5,0.45000000000000007,../../data/thrombosis_non_thrombosis_v3.csv,0.64,0.98,0.68,0.06,0.05,0.09,0.0,0.0
6,0.4600000000000001,../../data/thrombosis_non_thrombosis_v3.csv,0.66,0.99,0.71,0.07,0.05,0.1,0.0,0.0
7,0.4700000000000001,../../data/thrombosis_non_thrombosis_v3.csv,0.67,0.98,0.72,0.07,0.05,0.1,0.0,0.0
8,0.4800000000000001,../../data/thrombosis_non_thrombosis_v3.csv,0.69,0.98,0.74,0.07,0.05,0.1,0.0,0.0
9,0.4900000000000001,../../data/thrombosis_non_thrombosis_v3.csv,0.7,0.98,0.76,0.08,0.05,0.09,0.0,0.0
10,0.5000000000000001,../../data/thrombosis_non_thrombosis_v3.csv,0.71,0.96,0.77,0.08,0.06,0.09,0.0,0.0
11,0.5100000000000001,../../data/thrombosis_non_thrombosis_v3.csv,0.72,0.95,0.78,0.08,0.07,0.08,0.0,0.0
12,0.5200000000000001,../../data/thrombosis_non_thrombosis_v3.csv,0.74,0.94,0.79,0.08,0.09,0.09,0.0,0.0
13,0.5300000000000001,../../data/thrombosis_non_thrombosis_v3.csv,0.75,0.91,0.79,0.08,0.1,0.09,0.0,0.0
14,0.5400000000000001,../../data/thrombosis_non_thrombosis_v3.csv,0.76,0.91,0.8,0.09,0.1,0.09,0.0,0.0
15,0.5500000000000002,../../data/thrombosis_non_thrombosis_v3.csv,0.78,0.88,0.81,0.11,0.11,0.1,0.0,0.0
16,0.5600000000000002,../../data/thrombosis_non_thrombosis_v3.csv,0.79,0.86,0.81,0.11,0.11,0.1,0.0,0.0
17,0.5700000000000002,../../data/thrombosis_non_thrombosis_v3.csv,0.81,0.85,0.81,0.12,0.11,0.1,0.0,0.0
18,0.5800000000000002,../../data/thrombosis_non_thrombosis_v3.csv,0.81,0.84,0.81,0.11,0.11,0.09,0.0,0.0
19,0.5900000000000002,../../data/thrombosis_non_thrombosis_v3.csv,0.82,0.82,0.81,0.12,0.11,0.1,0.0,0.0
20,0.6000000000000002,../../data/thrombosis_non_thrombosis_v3.csv,0.83,0.8,0.8,0.11,0.1,0.09,0.0,0.0
21,0.6100000000000002,../../data/thrombosis_non_thrombosis_v3.csv,0.84,0.79,0.8,0.11,0.1,0.09,0.0,0.0
22,0.6200000000000002,../../data/thrombosis_non_thrombosis_v3.csv,0.86,0.78,0.8,0.11,0.1,0.1,0.0,0.0
23,0.6300000000000002,../../data/thrombosis_non_thrombosis_v3.csv,0.88,0.76,0.8,0.11,0.1,0.09,0.0,0.0
24,0.6400000000000002,../../data/thrombosis_non_thrombosis_v3.csv,0.89,0.76,0.8,0.11,0.1,0.1,0.0,0.0
25,0.6500000000000002,../../data/thrombosis_non_thrombosis_v3.csv,0.9,0.75,0.79,0.11,0.1,0.1,0.0,0.0
26,0.6600000000000003,../../data/thrombosis_non_thrombosis_v3.csv,0.9,0.72,0.76,0.12,0.1,0.11,0.0,0.0
27,0.6700000000000003,../../data/thrombosis_non_thrombosis_v3.csv,0.91,0.7,0.75,0.12,0.1,0.11,0.0,0.0
28,0.6800000000000003,../../data/thrombosis_non_thrombosis_v3.csv,0.91,0.68,0.72,0.12,0.08,0.1,0.0,0.0
29,0.6900000000000003,../../data/thrombosis_non_thrombosis_v3.csv,0.91,0.65,0.7,0.12,0.07,0.1,0.0,0.0
30,0.7000000000000003,../../data/thrombosis_non_thrombosis_v3.csv,0.91,0.63,0.67,0.13,0.06,0.09,0.0,0.0
31,0.7100000000000003,../../data/thrombosis_non_thrombosis_v3.csv,0.91,0.62,0.64,0.13,0.06,0.1,0.0,0.0
32,0.7200000000000003,../../data/thrombosis_non_thrombosis_v3.csv,0.92,0.6,0.62,0.12,0.05,0.09,0.0,0.0
33,0.7300000000000003,../../data/thrombosis_non_thrombosis_v3.csv,0.92,0.59,0.6,0.12,0.05,0.09,0.0,0.0
34,0.7400000000000003,../../data/thrombosis_non_thrombosis_v3.csv,0.93,0.58,0.58,0.13,0.04,0.09,0.0,0.0
35,0.7500000000000003,../../data/thrombosis_non_thrombosis_v3.csv,0.94,0.57,0.55,0.12,0.04,0.08,0.0,0.0
36,0.7600000000000003,../../data/thrombosis_non_thrombosis_v3.csv,0.88,0.56,0.52,0.28,0.04,0.09,0.0,0.0
37,0.7700000000000004,../../data/thrombosis_non_thrombosis_v3.csv,0.79,0.54,0.48,0.37,0.04,0.1,0.0,0.0
38,0.7800000000000004,../../data/thrombosis_non_thrombosis_v3.csv,0.74,0.54,0.46,0.41,0.03,0.09,0.0,0.0
39,0.7900000000000004,../../data/thrombosis_non_thrombosis_v3.csv,0.69,0.53,0.44,0.45,0.03,0.08,0.0,0.0
40,0.8000000000000004,../../data/thrombosis_non_thrombosis_v3.csv,0.68,0.53,0.43,0.47,0.02,0.08,0.0,0.0
41,0.4,../../data/type_I_vs_type_II_v3.csv,0.67,1.0,0.73,0.06,0.0,0.08,0.0,0.0
42,0.41000000000000003,../../data/type_I_vs_type_II_v3.csv,0.68,1.0,0.74,0.07,0.0,0.08,0.0,0.0
43,0.42000000000000004,../../data/type_I_vs_type_II_v3.csv,0.69,1.0,0.75,0.07,0.02,0.09,0.0,0.0
44,0.43000000000000005,../../data/type_I_vs_type_II_v3.csv,0.7,1.0,0.76,0.07,0.02,0.09,0.0,0.0
45,0.44000000000000006,../../data/type_I_vs_type_II_v3.csv,0.71,0.99,0.77,0.07,0.04,0.08,0.0,0.0
46,0.45000000000000007,../../data/type_I_vs_type_II_v3.csv,0.72,0.98,0.78,0.08,0.05,0.08,0.0,0.0
47,0.4600000000000001,../../data/type_I_vs_type_II_v3.csv,0.73,0.98,0.79,0.08,0.05,0.08,0.0,0.0
48,0.4700000000000001,../../data/type_I_vs_type_II_v3.csv,0.74,0.98,0.8,0.08,0.06,0.09,0.0,0.0
49,0.4800000000000001,../../data/type_I_vs_type_II_v3.csv,0.74,0.96,0.8,0.08,0.06,0.09,0.0,0.0
50,0.4900000000000001,../../data/type_I_vs_type_II_v3.csv,0.74,0.96,0.8,0.09,0.07,0.09,0.0,0.0
51,0.5000000000000001,../../data/type_I_vs_type_II_v3.csv,0.76,0.96,0.82,0.09,0.06,0.09,0.0,0.0
52,0.5100000000000001,../../data/type_I_vs_type_II_v3.csv,0.77,0.95,0.83,0.1,0.08,0.09,0.0,0.0
53,0.5200000000000001,../../data/type_I_vs_type_II_v3.csv,0.78,0.94,0.83,0.1,0.08,0.09,0.0,0.0
54,0.5300000000000001,../../data/type_I_vs_type_II_v3.csv,0.79,0.94,0.84,0.1,0.09,0.09,0.0,0.0
55,0.5400000000000001,../../data/type_I_vs_type_II_v3.csv,0.79,0.91,0.83,0.1,0.11,0.1,0.0,0.0
56,0.5500000000000002,../../data/type_I_vs_type_II_v3.csv,0.79,0.89,0.82,0.1,0.11,0.1,0.0,0.0
57,0.5600000000000002,../../data/type_I_vs_type_II_v3.csv,0.8,0.88,0.82,0.1,0.1,0.09,0.0,0.0
58,0.5700000000000002,../../data/type_I_vs_type_II_v3.csv,0.8,0.87,0.82,0.1,0.1,0.09,0.0,0.0
59,0.5800000000000002,../../data/type_I_vs_type_II_v3.csv,0.81,0.85,0.81,0.1,0.1,0.09,0.0,0.0
60,0.5900000000000002,../../data/type_I_vs_type_II_v3.csv,0.82,0.83,0.81,0.1,0.1,0.08,0.0,0.0
61,0.6000000000000002,../../data/type_I_vs_type_II_v3.csv,0.82,0.82,0.81,0.1,0.1,0.08,0.0,0.0
62,0.6100000000000002,../../data/type_I_vs_type_II_v3.csv,0.83,0.81,0.8,0.11,0.1,0.09,0.0,0.0
63,0.6200000000000002,../../data/type_I_vs_type_II_v3.csv,0.84,0.8,0.8,0.11,0.1,0.08,0.0,0.0
